U_star, Amplitude, DOF_ID (1=Heave 2=Pitch 3=Flap)
2.471803,0.199477,1.000000
2.471803,0.199573,1.000000
2.471803,0.199658,1.000000
2.471803,0.199734,1.000000
2.471803,0.199802,1.000000
2.471803,0.199863,1.000000
2.471803,0.199917,1.000000
2.471803,0.199965,1.000000
2.471803,0.200008,1.000000
2.471803,0.200047,1.000000
2.471803,0.200081,1.000000
2.471803,0.200112,1.000000
2.471803,0.200139,1.000000
2.471803,0.200163,1.000000
2.471810,0.199479,1.000000
2.471810,0.199575,1.000000
2.471810,0.199660,1.000000
2.471810,0.199736,1.000000
2.471810,0.199805,1.000000
2.471810,0.199865,1.000000
2.471810,0.199919,1.000000
2.471810,0.199967,1.000000
2.471810,0.200010,1.000000
2.471810,0.200049,1.000000
2.471810,0.200083,1.000000
2.471810,0.200114,1.000000
2.471810,0.200141,1.000000
2.471810,0.200165,1.000000
2.471825,0.199484,1.000000
2.471825,0.199580,1.000000
2.471825,0.199665,1.000000
2.471825,0.199741,1.000000
2.471825,0.199809,1.000000
2.471825,0.199869,1.000000
2.471825,0.199923,1.000000
2.471825,0.199971,1.000000
2.471825,0.200014,1.000000
2.471825,0.200053,1.000000
2.471825,0.200087,1.000000
2.471825,0.200117,1.000000
2.471825,0.200145,1.000000
2.471825,0.200169,1.000000
2.471854,0.199493,1.000000
2.471854,0.199589,1.000000
2.471854,0.199674,1.000000
2.471854,0.199749,1.000000
2.471854,0.199817,1.000000
2.471854,0.199877,1.000000
2.471854,0.199931,1.000000
2.471854,0.199979,1.000000
2.471854,0.200022,1.000000
2.471854,0.200060,1.000000
2.471854,0.200094,1.000000
2.471854,0.200125,1.000000
2.471854,0.200152,1.000000
2.471854,0.200176,1.000000
2.471915,0.199512,1.000000
2.471915,0.199607,1.000000
2.471915,0.199692,1.000000
2.471915,0.199767,1.000000
2.471915,0.199834,1.000000
2.471915,0.199894,1.000000
2.471915,0.199948,1.000000
2.471915,0.199995,1.000000
2.471915,0.200038,1.000000
2.471915,0.200076,1.000000
2.471915,0.200110,1.000000
2.471915,0.200140,1.000000
2.471915,0.200167,1.000000
2.471915,0.200192,1.000000
2.472041,0.199550,1.000000
2.472041,0.199644,1.000000
2.472041,0.199728,1.000000
2.472041,0.199802,1.000000
2.472041,0.199869,1.000000
2.472041,0.199928,1.000000
2.472041,0.199981,1.000000
2.472041,0.200029,1.000000
2.472041,0.200071,1.000000
2.472041,0.200109,1.000000
2.472041,0.200142,1.000000
2.472041,0.200172,1.000000
2.472041,0.200199,1.000000
2.472041,0.200223,1.000000
2.472313,0.199527,1.000000
2.472313,0.199630,1.000000
2.472313,0.199722,1.000000
2.472313,0.199804,1.000000
2.472313,0.199877,1.000000
2.472313,0.199943,1.000000
2.472313,0.200001,1.000000
2.472313,0.200053,1.000000
2.472313,0.200100,1.000000
2.472313,0.200141,1.000000
2.472313,0.200178,1.000000
2.472313,0.200211,1.000000
2.472313,0.200240,1.000000
2.472313,0.200267,1.000000
2.472313,0.200290,1.000000
2.472937,0.199702,1.000000
2.472937,0.199802,1.000000
2.472937,0.199891,1.000000
2.472937,0.199971,1.000000
2.472937,0.200041,1.000000
2.472937,0.200105,1.000000
2.472937,0.200162,1.000000
2.472937,0.200212,1.000000
2.472937,0.200257,1.000000
2.472937,0.200297,1.000000
2.472937,0.200333,1.000000
2.472937,0.200365,1.000000
2.472937,0.200394,1.000000
2.472937,0.200419,1.000000
2.472937,0.200442,1.000000
2.474126,0.200012,1.000000
2.474126,0.200109,1.000000
2.474126,0.200195,1.000000
2.474126,0.200272,1.000000
2.474126,0.200341,1.000000
2.474126,0.200402,1.000000
2.474126,0.200456,1.000000
2.474126,0.200505,1.000000
2.474126,0.200548,1.000000
2.474126,0.200587,1.000000
2.474126,0.200622,1.000000
2.474126,0.200653,1.000000
2.474126,0.200680,1.000000
2.474126,0.200705,1.000000
2.474126,0.200727,1.000000
2.475572,0.200374,1.000000
2.475572,0.200468,1.000000
2.475572,0.200552,1.000000
2.475572,0.200626,1.000000
2.475572,0.200694,1.000000
2.475572,0.200753,1.000000
2.475572,0.200806,1.000000
2.475572,0.200854,1.000000
2.475572,0.200896,1.000000
2.475572,0.200934,1.000000
2.475572,0.200967,1.000000
2.475572,0.200997,1.000000
2.475572,0.201024,1.000000
2.475572,0.201048,1.000000
2.475572,0.201070,1.000000
2.477274,0.200787,1.000000
2.477274,0.200879,1.000000
2.477274,0.200963,1.000000
2.477274,0.201035,1.000000
2.477274,0.201101,1.000000
2.477274,0.201160,1.000000
2.477274,0.201212,1.000000
2.477274,0.201259,1.000000
2.477274,0.201300,1.000000
2.477274,0.201337,1.000000
2.477274,0.201371,1.000000
2.477274,0.201400,1.000000
2.477274,0.201427,1.000000
2.477274,0.201450,1.000000
2.477274,0.201471,1.000000
2.479226,0.201254,1.000000
2.479226,0.201345,1.000000
2.479226,0.201427,1.000000
2.479226,0.201500,1.000000
2.479226,0.201565,1.000000
2.479226,0.201623,1.000000
2.479226,0.201674,1.000000
2.479226,0.201721,1.000000
2.479226,0.201762,1.000000
2.479226,0.201798,1.000000
2.479226,0.201831,1.000000
2.479226,0.201860,1.000000
2.479226,0.201886,1.000000
2.479226,0.201910,1.000000
2.479226,0.201930,1.000000
2.481426,0.201774,1.000000
2.481426,0.201865,1.000000
2.481426,0.201947,1.000000
2.481426,0.202019,1.000000
2.481426,0.202084,1.000000
2.481426,0.202141,1.000000
2.481426,0.202193,1.000000
2.481426,0.202239,1.000000
2.481426,0.202280,1.000000
2.481426,0.202316,1.000000
2.481426,0.202349,1.000000
2.481426,0.202378,1.000000
2.481426,0.202404,1.000000
2.481426,0.202427,1.000000
2.481426,0.202447,1.000000
2.483868,0.202348,1.000000
2.483868,0.202438,1.000000
2.483868,0.202520,1.000000
2.483868,0.202592,1.000000
2.483868,0.202657,1.000000
2.483868,0.202715,1.000000
2.483868,0.202766,1.000000
2.483868,0.202812,1.000000
2.483868,0.202853,1.000000
2.483868,0.202890,1.000000
2.483868,0.202922,1.000000
2.483868,0.202951,1.000000
2.483868,0.202977,1.000000
2.483868,0.203000,1.000000
2.483868,0.203021,1.000000
2.486547,0.202973,1.000000
2.486547,0.203064,1.000000
2.486547,0.203147,1.000000
2.486547,0.203219,1.000000
2.486547,0.203284,1.000000
2.486547,0.203343,1.000000
2.486547,0.203394,1.000000
2.486547,0.203441,1.000000
2.486547,0.203482,1.000000
2.486547,0.203518,1.000000
2.486547,0.203551,1.000000
2.486547,0.203580,1.000000
2.486547,0.203607,1.000000
2.486547,0.203630,1.000000
2.486547,0.203651,1.000000
2.489460,0.203650,1.000000
2.489460,0.203742,1.000000
2.489460,0.203825,1.000000
2.489460,0.203899,1.000000
2.489460,0.203965,1.000000
2.489460,0.204024,1.000000
2.489460,0.204076,1.000000
2.489460,0.204123,1.000000
2.489460,0.204164,1.000000
2.489460,0.204201,1.000000
2.489460,0.204235,1.000000
2.489460,0.204264,1.000000
2.489460,0.204291,1.000000
2.489460,0.204314,1.000000
2.489460,0.204335,1.000000
2.492599,0.204377,1.000000
2.492599,0.204470,1.000000
2.492599,0.204556,1.000000
2.492599,0.204630,1.000000
2.492599,0.204697,1.000000
2.492599,0.204757,1.000000
2.492599,0.204810,1.000000
2.492599,0.204858,1.000000
2.492599,0.204900,1.000000
2.492599,0.204938,1.000000
2.492599,0.204972,1.000000
2.492599,0.205001,1.000000
2.492599,0.205028,1.000000
2.492599,0.205052,1.000000
2.492599,0.205073,1.000000
2.495959,0.205153,1.000000
2.495959,0.205249,1.000000
2.495959,0.205336,1.000000
2.495959,0.205412,1.000000
2.495959,0.205481,1.000000
2.495959,0.205542,1.000000
2.495959,0.205596,1.000000
2.495959,0.205645,1.000000
2.495959,0.205688,1.000000
2.495959,0.205726,1.000000
2.495959,0.205761,1.000000
2.495959,0.205791,1.000000
2.495959,0.205819,1.000000
2.495959,0.205843,1.000000
2.495959,0.205865,1.000000
2.499534,0.205977,1.000000
2.499534,0.206076,1.000000
2.499534,0.206165,1.000000
2.499534,0.206243,1.000000
2.499534,0.206314,1.000000
2.499534,0.206376,1.000000
2.499534,0.206432,1.000000
2.499534,0.206482,1.000000
2.499534,0.206526,1.000000
2.499534,0.206566,1.000000
2.499534,0.206601,1.000000
2.499534,0.206632,1.000000
2.499534,0.206660,1.000000
2.499534,0.206685,1.000000
2.499534,0.206707,1.000000
2.503318,0.206847,1.000000
2.503318,0.206951,1.000000
2.503318,0.207041,1.000000
2.503318,0.207123,1.000000
2.503318,0.207195,1.000000
2.503318,0.207259,1.000000
2.503318,0.207317,1.000000
2.503318,0.207368,1.000000
2.503318,0.207414,1.000000
2.503318,0.207455,1.000000
2.503318,0.207491,1.000000
2.503318,0.207523,1.000000
2.503318,0.207552,1.000000
2.503318,0.207578,1.000000
2.503318,0.207601,1.000000
2.507305,0.207764,1.000000
2.507305,0.207871,1.000000
2.507305,0.207964,1.000000
2.507305,0.208049,1.000000
2.507305,0.208124,1.000000
2.507305,0.208190,1.000000
2.507305,0.208251,1.000000
2.507305,0.208303,1.000000
2.507305,0.208350,1.000000
2.507305,0.208393,1.000000
2.507305,0.208430,1.000000
2.507305,0.208464,1.000000
2.507305,0.208493,1.000000
2.507305,0.208520,1.000000
2.511489,0.208727,1.000000
2.511489,0.208837,1.000000
2.511489,0.208934,1.000000
2.511489,0.209023,1.000000
2.511489,0.209100,1.000000
2.511489,0.209169,1.000000
2.511489,0.209231,1.000000
2.511489,0.209286,1.000000
2.511489,0.209335,1.000000
2.511489,0.209378,1.000000
2.511489,0.209417,1.000000
2.511489,0.209452,1.000000
2.511489,0.209483,1.000000
2.511489,0.209510,1.000000
2.515862,0.209737,1.000000
2.515862,0.209849,1.000000
2.515862,0.209952,1.000000
2.515862,0.210042,1.000000
2.515862,0.210122,1.000000
2.515862,0.210195,1.000000
2.515862,0.210258,1.000000
2.515862,0.210315,1.000000
2.515862,0.210366,1.000000
2.515862,0.210411,1.000000
2.515862,0.210452,1.000000
2.515862,0.210488,1.000000
2.515862,0.210520,1.000000
2.515862,0.210548,1.000000
2.520418,0.210793,1.000000
2.520418,0.210909,1.000000
2.520418,0.211016,1.000000
2.520418,0.211109,1.000000
2.520418,0.211193,1.000000
2.520418,0.211268,1.000000
2.520418,0.211333,1.000000
2.520418,0.211392,1.000000
2.520418,0.211445,1.000000
2.520418,0.211491,1.000000
2.520418,0.211533,1.000000
2.520418,0.211570,1.000000
2.520418,0.211603,1.000000
2.520418,0.211633,1.000000
2.525151,0.211899,1.000000
2.525151,0.212021,1.000000
2.525151,0.212130,1.000000
2.525151,0.212225,1.000000
2.525151,0.212312,1.000000
2.525151,0.212388,1.000000
2.525151,0.212456,1.000000
2.525151,0.212517,1.000000
2.525151,0.212571,1.000000
2.525151,0.212619,1.000000
2.525151,0.212662,1.000000
2.525151,0.212700,1.000000
2.525151,0.212734,1.000000
2.525151,0.212764,1.000000
2.530055,0.213056,1.000000
2.530055,0.213182,1.000000
2.530055,0.213292,1.000000
2.530055,0.213391,1.000000
2.530055,0.213480,1.000000
2.530055,0.213557,1.000000
2.530055,0.213627,1.000000
2.530055,0.213689,1.000000
2.530055,0.213744,1.000000
2.530055,0.213794,1.000000
2.530055,0.213837,1.000000
2.530055,0.213876,1.000000
2.530055,0.213911,1.000000
2.530055,0.213942,1.000000
2.535122,0.214261,1.000000
2.535122,0.214390,1.000000
2.535122,0.214502,1.000000
2.535122,0.214603,1.000000
2.535122,0.214693,1.000000
2.535122,0.214771,1.000000
2.535122,0.214843,1.000000
2.535122,0.214906,1.000000
2.535122,0.214962,1.000000
2.535122,0.215012,1.000000
2.535122,0.215057,1.000000
2.535122,0.215096,1.000000
2.535122,0.215132,1.000000
2.535122,0.215163,1.000000
2.540348,0.215510,1.000000
2.540348,0.215640,1.000000
2.540348,0.215754,1.000000
2.540348,0.215857,1.000000
2.540348,0.215948,1.000000
2.540348,0.216029,1.000000
2.540348,0.216102,1.000000
2.540348,0.216165,1.000000
2.540348,0.216222,1.000000
2.540348,0.216274,1.000000
2.540348,0.216318,1.000000
2.540348,0.216359,1.000000
2.540348,0.216395,1.000000
2.540348,0.216426,1.000000
2.545725,0.216796,1.000000
2.545725,0.216928,1.000000
2.545725,0.217045,1.000000
2.545725,0.217150,1.000000
2.545725,0.217242,1.000000
2.545725,0.217325,1.000000
2.545725,0.217399,1.000000
2.545725,0.217464,1.000000
2.545725,0.217522,1.000000
2.545725,0.217574,1.000000
2.545725,0.217620,1.000000
2.545725,0.217661,1.000000
2.545725,0.217698,1.000000
2.545725,0.217730,1.000000
2.551248,0.218115,1.000000
2.551248,0.218249,1.000000
2.551248,0.218370,1.000000
2.551248,0.218478,1.000000
2.551248,0.218572,1.000000
2.551248,0.218658,1.000000
2.551248,0.218733,1.000000
2.551248,0.218800,1.000000
2.551248,0.218860,1.000000
2.551248,0.218912,1.000000
2.551248,0.218960,1.000000
2.551248,0.219002,1.000000
2.551248,0.219039,1.000000
2.551248,0.219072,1.000000
2.556911,0.219306,1.000000
2.556911,0.219465,1.000000
2.556911,0.219602,1.000000
2.556911,0.219728,1.000000
2.556911,0.219838,1.000000
2.556911,0.219936,1.000000
2.556911,0.220024,1.000000
2.556911,0.220101,1.000000
2.556911,0.220171,1.000000
2.556911,0.220232,1.000000
2.556911,0.220287,1.000000
2.556911,0.220335,1.000000
2.556911,0.220379,1.000000
2.556911,0.220417,1.000000
2.556911,0.220451,1.000000
2.562707,0.220678,1.000000
2.562707,0.220841,1.000000
2.562707,0.220986,1.000000
2.562707,0.221116,1.000000
2.562707,0.221230,1.000000
2.562707,0.221332,1.000000
2.562707,0.221423,1.000000
2.562707,0.221503,1.000000
2.562707,0.221575,1.000000
2.562707,0.221639,1.000000
2.562707,0.221695,1.000000
2.562707,0.221746,1.000000
2.562707,0.221791,1.000000
2.562707,0.221830,1.000000
2.562707,0.221866,1.000000
2.568633,0.222074,1.000000
2.568633,0.222243,1.000000
2.568633,0.222397,1.000000
2.568633,0.222531,1.000000
2.568633,0.222651,1.000000
2.568633,0.222758,1.000000
2.568633,0.222852,1.000000
2.568633,0.222937,1.000000
2.568633,0.223012,1.000000
2.568633,0.223078,1.000000
2.568633,0.223137,1.000000
2.568633,0.223190,1.000000
2.568633,0.223236,1.000000
2.568633,0.223278,1.000000
2.568633,0.223315,1.000000
2.574681,0.223490,1.000000
